fn,tid,title,wordsInTitle,url,imdbRating,ratingCount,duration,year_x,type,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,rank,studio,lifetime_gross,year_y
titles01/tt0361748,tt0361748,inglouriousbasterds,inglourious basterds,http://www.imdb.com/title/tt0361748/,8.3,561706.0,9180.0,2009.0,video.movie,76,63,394,7896,1391,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,513,Wein.,120540719,2009
titles01/tt0364569,tt0364569,oldboy,oldboy,http://www.imdb.com/title/tt0364569/,8.4,245394.0,7200.0,2003.0,video.movie,18,11,19,121,742,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6646,FD,2193658,2013
titles01/tt0364569,tt0364569,oldboy,oldboy,http://www.imdb.com/title/tt0364569/,8.4,245394.0,7200.0,2003.0,video.movie,18,11,19,121,742,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8154,Tar.,707481,2005
titles04/index.html.11865,tt1321511,oldboy,oldboy,http://www.imdb.com/title/tt1321511/,5.6,28470.0,6240.0,2013.0,video.movie,0,0,28,1881,181,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6646,FD,2193658,2013
titles04/index.html.11865,tt1321511,oldboy,oldboy,http://www.imdb.com/title/tt1321511/,5.6,28470.0,6240.0,2013.0,video.movie,0,0,28,1881,181,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8154,Tar.,707481,2005
titles01/tt0372784,tt0372784,batmanbegins,batman begins,http://www.imdb.com/title/tt0372784/,8.3,659591.0,8400.0,2005.0,video.movie,9,44,202,6136,2607,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,WB,206852432,2005
titles01/tt0381681,tt0381681,beforesunset,before sunset,http://www.imdb.com/title/tt0381681/,8.1,113580.0,4800.0,2004.0,video.movie,8,12,34,719,467,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5410,WIP,5820649,2004
titles01/tt0401792,tt0401792,sincity,sin city,http://www.imdb.com/title/tt0401792/,8.2,491210.0,7440.0,2005.0,video.movie,21,29,212,5239,1677,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1036,Dim.,74103820,2005
titles01/tt0405159,tt0405159,milliondollarbaby,million dollar baby,http://www.imdb.com/title/tt0405159/,8.1,334315.0,7920.0,2004.0,video.movie,58,34,48,1457,1068,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,696,WB,100492203,2004
titles01/tt0405508,tt0405508,rangdebasanti,rang de basanti,http://www.imdb.com/title/tt0405508/,8.6,36778.0,9420.0,2006.0,video.movie,16,18,3,335,294,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6643,UTV,2197694,2006
titles01/tt0457430,tt0457430,panslabyrinth,pans labyrinth,http://www.imdb.com/title/tt0457430/,8.3,339845.0,7080.0,2006.0,video.movie,76,63,50,81,1025,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2179,PicH,37634615,2006
titles01/tt0468569,tt0468569,thedarkknight,the dark knight,http://www.imdb.com/title/tt0468569/,9.0,1148515.0,9120.0,2008.0,video.movie,94,69,107,17229,3930,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,WB,534858444,2008
titles01/tt0469494,tt0469494,therewillbeblood,there will be blood,http://www.imdb.com/title/tt0469494/,8.1,272992.0,9480.0,2007.0,video.movie,74,58,65,2075,1053,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2042,ParV,40222514,2007
titles01/tt0477348,tt0477348,nocountryforoldmen,no country for old men,http://www.imdb.com/title/tt0477348/,8.2,434032.0,7320.0,2007.0,video.movie,110,51,61,3101,1416,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1032,Mira.,74283625,2007
titles01/tt0758758,tt0758758,intothewild,into the wild,http://www.imdb.com/title/tt0758758/,8.2,292747.0,8880.0,2007.0,video.movie,18,43,67,880,683,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3546,ParV,18354356,2007
titles01/tt0796366,tt0796366,startrek,star trek,http://www.imdb.com/title/tt0796366/,8.1,401744.0,7620.0,2009.0,video.movie,19,47,201,15161,1499,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,110,Par.,257730019,2009
titles01/tt0848228,tt0848228,marvelstheavengers,marvel s the avengers,http://www.imdb.com/title/tt0848228/,8.2,638083.0,8580.0,2012.0,video.movie,22,55,324,21466,1550,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,BV,623357910,2012
titles01/tt0947798,tt0947798,blackswan,black swan,http://www.imdb.com/title/tt0947798/,8.1,413273.0,6480.0,2010.0,video.movie,57,125,119,10527,1057,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,620,FoxS,106954678,2010
titles01/tt0986264,tt0986264,taarezameenpar,taare zameen par,http://www.imdb.com/title/tt0986264/,8.6,48238.0,9900.0,2007.0,video.movie,13,15,2,325,261,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7395,UTV,1223869,2007
titles01/tt0993846,tt0993846,thewolfofwallstreet,the wolf of wall street,http://www.imdb.com/title/tt0993846/,8.4,285401.0,10800.0,2013.0,video.movie,17,62,73,3597,779,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,Par.,116900694,2013
titles01/tt1130884,tt1130884,shutterisland,shutter island,http://www.imdb.com/title/tt1130884/,8.1,495936.0,8280.0,2010.0,video.movie,4,27,56,3907,884,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,460,Par.,128012934,2010
titles01/tt1187043,tt1187043,idiots,idiots,http://www.imdb.com/title/tt1187043/,8.5,103975.0,10200.0,2009.0,video.movie,20,13,20,10,267,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5244,Relbig.,6532874,2009
titles01/tt1205489,tt1205489,grantorino,gran torino,http://www.imdb.com/title/tt1205489/,8.2,405722.0,6960.0,2008.0,video.movie,20,8,62,1349,815,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,WB,148095302,2008
